INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
212019991,1402,,VANDALISM,D14,796,0,2021-03-27 17:00:00,2021,3,Saturday,17,,COMMONWEALTH AVE,42.3518124027445,-71.1246523822315,"(42.3518124027445, -71.1246523822315)"
212019990,613,,LARCENY SHOPLIFTING,A1,112,0,2021-03-29 11:40:00,2021,3,Monday,11,,WASHINGTON ST,42.355123390368,-71.0608797985164,"(42.355123390368, -71.0608797985164)"
212019989,3126,,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,A15,900,0,2021-03-29 11:17:00,2021,3,Monday,11,,CARNEY CT,42.3791542837393,-71.0602243121654,"(42.3791542837393, -71.0602243121654)"
212019988,3114,,INVESTIGATE PROPERTY,A1,61,0,2021-03-29 12:02:00,2021,3,Monday,12,,LEGENDS WAY,42.3664354633178,-71.0613541253703,"(42.3664354633178, -71.0613541253703)"
212019987,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,E5,556,0,2021-03-28 18:30:00,2021,3,Sunday,18,,SEYMOUR ST,42.2803858304009,-71.1228734397942,"(42.2803858304009, -71.1228734397942)"
212019985,3115,,INVESTIGATE PERSON,C6,210,0,2021-03-29 10:52:00,2021,3,Monday,10,,D ST,42.3437392884837,-71.0449963207612,"(42.3437392884837, -71.0449963207612)"
212019984,3005,,SICK ASSIST,E5,563,0,2021-03-29 11:29:00,2021,3,Monday,11,,BRADEEN ST,42.2902329722744,-71.1201596783106,"(42.2902329722744, -71.1201596783106)"
212019983,3005,,SICK ASSIST,C11,351,0,2021-03-29 11:25:00,2021,3,Monday,11,,DORCHESTER AVE,42.299196944042,-71.0604697440107,"(42.299196944042, -71.0604697440107)"
212019982,3006,,SICK/INJURED/MEDICAL - PERSON,D14,816,0,2021-03-29 10:24:00,2021,3,Monday,10,,ROYAL ST,42.3575106026851,-71.1299647886456,"(42.3575106026851, -71.1299647886456)"
212019981,1402,,VANDALISM,D14,799,0,2021-03-27 02:00:00,2021,3,Saturday,2,,BRIGHTON AVE,42.3524836119987,-71.1272951931174,"(42.3524836119987, -71.1272951931174)"
212019980,2007,,VIOLATION - RESTRAINING ORDER (NO ARREST),B3,421,0,2021-03-29 11:42:00,2021,3,Monday,11,,MORTON VILLAGE DR,42.2802435212006,-71.0848150924114,"(42.2802435212006, -71.0848150924114)"
212019979,3125,,WARRANT ARREST - BOSTON WARRANT (MUST BE SUPPLEMENTAL),C11,378,0,2021-03-29 10:49:00,2021,3,Monday,10,,CHICKATAWBUT ST,42.2866563043794,-71.0464000924866,"(42.2866563043794, -71.0464000924866)"
212019977,2647,,THREATS TO DO BODILY HARM,B2,593,0,2021-03-29 09:26:00,2021,3,Monday,9,,LONGWOOD AVE,42.3385700003245,-71.1067068100886,"(42.3385700003245, -71.1067068100886)"
212019975,1402,,VANDALISM,B2,319,0,2021-03-28 18:40:00,2021,3,Sunday,18,,MAPLE CT,42.308264825,-71.0859853413786,"(42.308264825, -71.0859853413786)"
212019974,1106,,FRAUD - CREDIT CARD / ATM FRAUD,C11,355,0,2021-03-29 11:32:00,2021,3,Monday,11,,AUCKLAND ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
212019973,3126,,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,B3,413,0,2021-03-29 10:45:00,2021,3,Monday,10,,MORTON ST,42.277543203434,-71.0779501850881,"(42.277543203434, -71.0779501850881)"
212019972,1109,,FRAUD - WIRE,A15,41,0,2021-03-26 11:45:00,2021,3,Friday,11,,HOOD PARK DR,42.3766316681323,-71.0559319549787,"(42.3766316681323, -71.0559319549787)"
212019970,3502,,MISSING PERSON - LOCATED,B3,449,0,2021-03-29 11:06:00,2021,3,Monday,11,,ASPINWALL RD,42.2912558601228,-71.0747509194691,"(42.2912558601228, -71.0747509194691)"
212019969,3112,,LANDLORD - TENANT,B3,464,0,2021-03-29 10:28:00,2021,3,Monday,10,,BLUE HILL AVE,42.2917181578815,-71.0891180727784,"(42.2917181578815, -71.0891180727784)"
212019968,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6, ,0,2021-03-29 10:01:00,2021,3,Monday,10,,CROWLEY ROGERS WAY,0,0,"(0, 0)"
212019967,3005,,SICK ASSIST,A15,50,0,2021-03-29 09:28:00,2021,3,Monday,9,,HOOD PARK DR,0,0,"(0, 0)"
212019964,3114,,INVESTIGATE PROPERTY,B3,425,0,2021-03-29 10:40:00,2021,3,Monday,10,,BLUE HILL AVE,42.2729449022366,-71.0934893277111,"(42.2729449022366, -71.0934893277111)"
212019960,3301,,VERBAL DISPUTE,B2,316,0,2021-03-29 09:57:00,2021,3,Monday,9,,PARK VIEW ST,42.311094659807,-71.0923846263871,"(42.311094659807, -71.0923846263871)"
212019959,3007,,SUDDEN DEATH,E13,658,0,2021-03-29 08:36:00,2021,3,Monday,8,,ALLANDALE ST,42.3013157068652,-71.1311676037277,"(42.3013157068652, -71.1311676037277)"
212019958,423,,ASSAULT - AGGRAVATED,A15,41,0,2021-03-26 16:00:00,2021,3,Friday,16,,CARNEY CT,42.3766316681323,-71.0559319549787,"(42.3766316681323, -71.0559319549787)"
212019956,2647,,THREATS TO DO BODILY HARM,B3,465,0,2021-03-28 01:30:00,2021,3,Sunday,1,,MAMELON CIR,42.2848257658049,-71.091373689388,"(42.2848257658049, -71.091373689388)"
212019955,3410,,TOWED MOTOR VEHICLE,B2,240,0,2021-03-29 09:15:00,2021,3,Monday,9,,COLUMBIA RD,42.3195929833465,-71.0626069963427,"(42.3195929833465, -71.0626069963427)"
212019954,3410,,TOWED MOTOR VEHICLE,C11,366,0,2021-03-29 08:21:00,2021,3,Monday,8,,MONSIGNOR PATRICK J. LYDON WAY,42.2886619840527,-71.0613052399456,"(42.2886619840527, -71.0613052399456)"
212019953,3802,,M/V ACCIDENT - PROPERTY DAMAGE,E5,705,0,2021-03-29 07:42:00,2021,3,Monday,7,,"LAGRANGE ST & LARKHILL RD
WEST ROXBURY  MA 02132
U",42.2758229983318,-71.1483309537287,"(42.2758229983318, -71.1483309537287)"
212019952,1402,,VANDALISM,C6,186,0,2021-03-29 08:58:00,2021,3,Monday,8,,MASSACHUSETTS AVE,42.324118374264,-71.0646132103913,"(42.324118374264, -71.0646132103913)"
212019951,3410,,TOWED MOTOR VEHICLE,B2, ,0,2021-03-29 08:10:00,2021,3,Monday,8,,WOODCLIFF ST,42.3161024125839,-71.0775619879324,"(42.3161024125839, -71.0775619879324)"
212019950,3115,,INVESTIGATE PERSON,D14,778,0,2021-03-29 09:07:00,2021,3,Monday,9,,COMMONWEALTH AVE,42.3490560003051,-71.1504984997502,"(42.3490560003051, -71.1504984997502)"
212019949,3114,,INVESTIGATE PROPERTY,A1,114,0,2021-03-29 09:03:00,2021,3,Monday,9,,ATLANTIC AVE,42.3543825213054,-71.0521328111202,"(42.3543825213054, -71.0521328111202)"
212019948,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E18,520,0,2021-03-29 09:03:00,2021,3,Monday,9,,AMERICAN LEGION HWY,42.2562159204022,-71.1240194732902,"(42.2562159204022, -71.1240194732902)"
212019947,2905,,VAL - VIOLATION OF AUTO LAW,A1,116,0,2021-03-25 17:35:00,2021,3,Thursday,17,,HARRISON AVE,42.3517167859108,-71.0611841878684,"(42.3517167859108, -71.0611841878684)"
212019946,3801,,M/V ACCIDENT - OTHER,E5,562,0,2021-03-29 08:13:00,2021,3,Monday,8,,FLORENCE ST,42.2875684675283,-71.1228155106101,"(42.2875684675283, -71.1228155106101)"
212019945,3801,,M/V ACCIDENT - OTHER,A7, ,0,2021-03-28 15:00:00,2021,3,Sunday,15,,CHELSEA ST,42.3775730226915,-71.0298553818708,"(42.3775730226915, -71.0298553818708)"
212019942,3410,,TOWED MOTOR VEHICLE,B3,469,0,2021-03-29 04:59:00,2021,3,Monday,4,,ALMONT ST,42.2752767031409,-71.0955424537511,"(42.2752767031409, -71.0955424537511)"
212019941,3115,,INVESTIGATE PERSON,C11,358,0,2021-03-29 05:18:00,2021,3,Monday,5,,PARK ST,42.2964193782633,-71.0686461654138,"(42.2964193782633, -71.0686461654138)"
212019940,3802,,M/V ACCIDENT - PROPERTY DAMAGE,E13,665,0,2021-03-29 04:22:00,2021,3,Monday,4,,"BUSSEY ST & SOUTH ST
ROSLINDALE  MA 02130
UNITED S",42.2955509606227,-71.1220070008385,"(42.2955509606227, -71.1220070008385)"
212019939,3803,,M/V ACCIDENT - PERSONAL INJURY,C6, ,0,2021-03-29 04:46:00,2021,3,Monday,4,,THEODORE A GLYNN WAY,42.3311311215983,-71.0683011886716,"(42.3311311215983, -71.0683011886716)"
212019938,3115,,INVESTIGATE PERSON,C6, ,0,2021-03-29 04:55:00,2021,3,Monday,4,,FLAHERTY WAY,42.3379474468219,-71.0531051340386,"(42.3379474468219, -71.0531051340386)"
212019936,3005,,SICK ASSIST,A1,127,0,2021-03-29 03:28:00,2021,3,Monday,3,,WASHINGTON ST,42.3487608662988,-71.0640826084648,"(42.3487608662988, -71.0640826084648)"
212019934,3114,,INVESTIGATE PROPERTY,C6,207,0,2021-03-29 00:35:00,2021,3,Monday,0,,LIBERTY DR,42.3541275950128,-71.0446072207059,"(42.3541275950128, -71.0446072207059)"
212019932,3114,,INVESTIGATE PROPERTY,C11,357,1,2021-03-29 01:19:00,2021,3,Monday,1,,WESTVILLE ST,42.3001059658242,-71.0710271023447,"(42.3001059658242, -71.0710271023447)"
212019931,3802,,M/V ACCIDENT - PROPERTY DAMAGE,B3,432,0,2021-03-29 01:12:00,2021,3,Monday,1,,JACOB ST,42.2854184589841,-71.0836637748305,"(42.2854184589841, -71.0836637748305)"
212019929,3115,,INVESTIGATE PERSON,B3,458,0,2021-03-29 00:45:00,2021,3,Monday,0,,ELLINGTON ST,42.3019741999315,-71.08383388129,"(42.3019741999315, -71.08383388129)"
212019928,3502,,MISSING PERSON - LOCATED,D4,165,0,2021-03-25 11:00:00,2021,3,Thursday,11,,HARRISON AVE,42.3432979459581,-71.0645809642492,"(42.3432979459581, -71.0645809642492)"
212019927,301,,ROBBERY,B2,171,0,2021-03-29 00:10:00,2021,3,Monday,0,,"725 ALBANY ST
BOSTON  MA 02118
UNITED STATES",42.3342884065942,-71.072395175438,"(42.3342884065942, -71.072395175438)"
212019926,3115,,INVESTIGATE PERSON,C11,346,0,2021-03-29 00:00:00,2021,3,Monday,0,,MT IDA RD,42.3056551657421,-71.0647278805458,"(42.3056551657421, -71.0647278805458)"
212019925,3301,,VERBAL DISPUTE,A1,92,0,2021-03-29 00:13:00,2021,3,Monday,0,,COURT ST,42.3590332258577,-71.0588014325954,"(42.3590332258577, -71.0588014325954)"
212019924,3114,,INVESTIGATE PROPERTY,C11,399,0,2021-03-28 23:48:00,2021,3,Sunday,23,,WALTON ST,42.2873417860824,-71.0697144267658,"(42.2873417860824, -71.0697144267658)"
212019923,3114,,INVESTIGATE PROPERTY,A15,38,0,2021-03-28 23:30:00,2021,3,Sunday,23,,FIRST AVE,42.3750271951089,-71.0542354193689,"(42.3750271951089, -71.0542354193689)"
212019921,3111,,LICENSE PREMISE VIOLATION,B3,426,0,2021-03-28 23:15:00,2021,3,Sunday,23,,RIVER ST,42.2680239995102,-71.0930105673007,"(42.2680239995102, -71.0930105673007)"
212019920,3410,,TOWED MOTOR VEHICLE,C11,461,0,2021-03-28 22:30:00,2021,3,Sunday,22,,WASHINGTON ST,42.3028090575585,-71.0781250817161,"(42.3028090575585, -71.0781250817161)"
212019918,619,,LARCENY ALL OTHERS,B2,293,0,2021-03-28 21:18:00,2021,3,Sunday,21,,GUILD ST,42.3269555129845,-71.0894844237365,"(42.3269555129845, -71.0894844237365)"
212019917,3111,,LICENSE PREMISE VIOLATION,E18,519,0,2021-03-28 22:45:00,2021,3,Sunday,22,,FAIRMOUNT AVE,42.2554571944779,-71.1207843546591,"(42.2554571944779, -71.1207843546591)"
212019916,3802,,M/V ACCIDENT - PROPERTY DAMAGE,E18,498,0,2021-03-28 22:24:00,2021,3,Sunday,22,,HYDE PARK AVE,42.2737885815946,-71.1200647308691,"(42.2737885815946, -71.1200647308691)"
212019915,3115,,INVESTIGATE PERSON,B2,317,0,2021-03-28 09:22:00,2021,3,Sunday,9,,RUTHVEN ST,42.3120204688974,-71.0885163224598,"(42.3120204688974, -71.0885163224598)"
212019913,520,,BURGLARY - RESIDENTIAL,C6,188,0,2021-03-28 22:12:00,2021,3,Sunday,22,,MOUNT VERNON ST,42.3223161718747,-71.0587310708647,"(42.3223161718747, -71.0587310708647)"
212019912,3207,,PROPERTY - FOUND,E18,951,0,2021-03-28 21:30:00,2021,3,Sunday,21,,RIVER ST,42.2636174451712,-71.1023738694173,"(42.2636174451712, -71.1023738694173)"
212019910,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E18,556,0,2021-03-28 21:58:00,2021,3,Sunday,21,,"CANTERBURY ST & PINEDALE RD
ROSLINDALE  MA 02131
U",42.278157971076,-71.1215200218503,"(42.278157971076, -71.1215200218503)"
212019908,3410,,TOWED MOTOR VEHICLE,B2,330,0,2021-03-28 20:50:00,2021,3,Sunday,20,,SEAVER ST,42.3050537626199,-71.0840363321671,"(42.3050537626199, -71.0840363321671)"
212019907,3006,,SICK/INJURED/MEDICAL - PERSON,C11,366,0,2021-03-28 21:12:00,2021,3,Sunday,21,,MONSIGNOR PATRICK J. LYDON WAY,42.2886619840527,-71.0613052399456,"(42.2886619840527, -71.0613052399456)"
212019906,801,,ASSAULT - SIMPLE,C6,186,0,2021-03-28 20:43:00,2021,3,Sunday,20,,MASSACHUSETTS AVE,42.3255380074719,-71.0657959190108,"(42.3255380074719, -71.0657959190108)"
212019905,1402,,VANDALISM,A1,86,0,2021-03-28 17:45:00,2021,3,Sunday,17,,WIGET ST,42.3640075000337,-71.0561621052694,"(42.3640075000337, -71.0561621052694)"
212019903,3801,,M/V ACCIDENT - OTHER,B2,605,0,2021-03-28 20:40:00,2021,3,Sunday,20,,PARKER HILL AVE,42.3309336305424,-71.1095644325598,"(42.3309336305424, -71.1095644325598)"
212019902,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,352,0,2021-03-28 20:01:00,2021,3,Sunday,20,,"ARCADIA ST & TOLEDO TER
DORCHESTER  MA 02122
UNITE",42.3015500238323,-71.0623509413168,"(42.3015500238323, -71.0623509413168)"
212019901,3115,,INVESTIGATE PERSON,E18,530,0,2021-03-28 20:40:00,2021,3,Sunday,20,,DANNY RD,42.2407999280305,-71.1363368358914,"(42.2407999280305, -71.1363368358914)"
212019900,3802,,M/V ACCIDENT - PROPERTY DAMAGE,B3,406,0,2021-03-28 20:21:00,2021,3,Sunday,20,,RIVER ST,42.271330052757,-71.0829986502208,"(42.271330052757, -71.0829986502208)"
212019897,3115,,INVESTIGATE PERSON,B2,296,0,2021-03-28 20:35:00,2021,3,Sunday,20,,WARREN ST,42.3222164525887,-71.0820672272945,"(42.3222164525887, -71.0820672272945)"
212019896,3115,,INVESTIGATE PERSON,A7,23,0,2021-03-28 19:59:00,2021,3,Sunday,19,,PRINCETON ST,42.3767959652937,-71.0378972233023,"(42.3767959652937, -71.0378972233023)"
212019894,3830,,M/V - LEAVING SCENE - PERSONAL INJURY,B2, ,0,2021-03-28 19:56:00,2021,3,Sunday,19,,"BLUE HILL AVENUE & GEORGIA ST
BOSTON  MA 02121
UNI",42.3093350055373,-71.0828019553646,"(42.3093350055373, -71.0828019553646)"
212019893,1304,,PROPERTY - STOLEN THEN RECOVERED,C11,355,0,2021-03-28 18:00:00,2021,3,Sunday,18,,DORCHESTER AVE,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
212019891,1102,,FRAUD - FALSE PRETENSE / SCHEME,D4,167,0,2021-03-26 18:30:00,2021,3,Friday,18,,E NEWTON ST,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
212019890,1402,,VANDALISM,B3,444,0,2021-03-28 17:30:00,2021,3,Sunday,17,,WALES ST,42.297520972793,-71.0850229144802,"(42.297520972793, -71.0850229144802)"
212019889,3201,,PROPERTY - LOST/ MISSING,A1,66,0,2021-03-27 23:30:00,2021,3,Saturday,23,,CHARLES ST,42.3603353611425,-71.0708197459365,"(42.3603353611425, -71.0708197459365)"
212019888,2610,,TRESPASSING,B3,476,0,2021-03-28 19:04:00,2021,3,Sunday,19,,BLUE HILL AVE,0,0,"(0, 0)"
212019886,617,,LARCENY THEFT FROM BUILDING,D4,167,0,2021-03-28 12:47:00,2021,3,Sunday,12,,BOYLSTON ST,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
212019885,801,,ASSAULT - SIMPLE,B3,922,0,2021-03-28 18:25:00,2021,3,Sunday,18,,DR. MARY MOORE BEATTY CIR,42.2730864076397,-71.0801289960239,"(42.2730864076397, -71.0801289960239)"
212019882,2907,,VAL - OPERATING AFTER REV/SUSP.,C11,363,0,2021-03-28 18:10:00,2021,3,Sunday,18,,DORCHESTER AVE,42.2924424742224,-71.0624360449365,"(42.2924424742224, -71.0624360449365)"
212019881,3005,,SICK ASSIST,B3,943,0,2021-03-28 18:05:00,2021,3,Sunday,18,,WOODRUFF WAY,42.2766269043041,-71.0812397272936,"(42.2766269043041, -71.0812397272936)"
212019879,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,167,0,2021-03-04 09:30:00,2021,3,Thursday,9,,TREMONT ST,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
212019876,2670,,HARASSMENT/ CRIMINAL HARASSMENT,C11,335,0,2021-03-28 17:27:00,2021,3,Sunday,17,,COLEMAN ST,42.3077634189535,-71.0668306183977,"(42.3077634189535, -71.0668306183977)"
212019875,3207,,PROPERTY - FOUND,A1,77,0,2021-03-28 18:04:00,2021,3,Sunday,18,,SUDBURY ST,0,0,"(0, 0)"
212019874,3115,,INVESTIGATE PERSON,C11,341,0,2021-03-28 17:20:00,2021,3,Sunday,17,,STONEHURST ST,42.3044435187807,-71.0677863813348,"(42.3044435187807, -71.0677863813348)"
212019873,801,,ASSAULT - SIMPLE,C6,206,0,2021-03-28 15:55:00,2021,3,Sunday,15,,SLEEPER ST,42.3534822878306,-71.0481406062965,"(42.3534822878306, -71.0481406062965)"
212019871,3802,,M/V ACCIDENT - PROPERTY DAMAGE,E18,546,0,2021-03-28 16:41:00,2021,3,Sunday,16,,AUSTIN ST,42.2637135742971,-71.1255581618424,"(42.2637135742971, -71.1255581618424)"
212019870,3005,,SICK ASSIST,B3,413,0,2021-03-28 16:15:00,2021,3,Sunday,16,,DRUID ST,42.277278283756,-71.075357817535,"(42.277278283756, -71.075357817535)"
212019869,3114,,INVESTIGATE PROPERTY,A1,61,0,2021-03-28 17:38:00,2021,3,Sunday,17,,LEGENDS WAY,42.3664354633178,-71.0613541253703,"(42.3664354633178, -71.0613541253703)"
212019867,724,,AUTO THEFT,B3,465,0,2021-03-28 16:10:00,2021,3,Sunday,16,,BLUE HILL AVE,0,0,"(0, 0)"
212019866,3005,,SICK ASSIST,E18,481,0,2021-03-28 17:00:00,2021,3,Sunday,17,,VIOLANTE ST,42.2668898489222,-71.0971893205344,"(42.2668898489222, -71.0971893205344)"
212019865,3410,,TOWED MOTOR VEHICLE,B3,457,0,2021-03-28 16:32:00,2021,3,Sunday,16,,MCLELLAN ST,42.2994618943073,-71.0836014830588,"(42.2994618943073, -71.0836014830588)"
212019864,613,,LARCENY SHOPLIFTING,D4,146,0,2021-03-28 17:06:00,2021,3,Sunday,17,,HUNTINGTON AVE,42.3479723982459,-71.0784958158727,"(42.3479723982459, -71.0784958158727)"
212019863,3115,,INVESTIGATE PERSON,E13,582,0,2021-03-28 15:19:00,2021,3,Sunday,15,,CREIGHTON ST,42.3227665664541,-71.1083877349181,"(42.3227665664541, -71.1083877349181)"
212019862,3207,,PROPERTY - FOUND,A1,77,0,2021-03-28 17:14:00,2021,3,Sunday,17,,SUDBURY ST,0,0,"(0, 0)"
212019861,3006,,SICK/INJURED/MEDICAL - PERSON,E13,303,0,2021-03-28 16:00:00,2021,3,Sunday,16,,COLUMBUS AVE,42.318988595966,-71.0983997985188,"(42.318988595966, -71.0983997985188)"
212019860,3115,,INVESTIGATE PERSON,E18,489,0,2021-03-28 16:00:00,2021,3,Sunday,16,,GERAGHTY TER,42.2666518830341,-71.110782768157,"(42.2666518830341, -71.110782768157)"
212019859,2006,,VIOL. OF RESTRAINING ORDER W ARREST,C11,246,0,2021-03-28 00:00:00,2021,3,Sunday,0,,SAGAMORE ST,42.3154633323205,-71.0544409314574,"(42.3154633323205, -71.0544409314574)"
212019858,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,584,0,2021-03-28 15:35:00,2021,3,Sunday,15,,WENSLEY ST,42.3273599830757,-71.1033768061079,"(42.3273599830757, -71.1033768061079)"
212019856,3115,,INVESTIGATE PERSON,C6,256,0,2021-03-28 16:22:00,2021,3,Sunday,16,,WILLIAM T MORRISSEY BLVD,42.3192852280245,-71.0502716742169,"(42.3192852280245, -71.0502716742169)"
212019855,724,,AUTO THEFT,D14,778,0,2021-03-28 16:39:00,2021,3,Sunday,16,,RAYMOND ST,42.3490560003051,-71.1504984997502,"(42.3490560003051, -71.1504984997502)"
212019853,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,465,0,2021-03-20 21:10:00,2021,3,Saturday,21,,BLUE HILL AVE,0,0,"(0, 0)"
212019852,3006,,SICK/INJURED/MEDICAL - PERSON,D4,171,0,2021-03-28 16:05:00,2021,3,Sunday,16,,HARRISON AVE,42.3355595408121,-71.0743636377437,"(42.3355595408121, -71.0743636377437)"
212019851,3115,,INVESTIGATE PERSON,E18,520,0,2021-03-28 15:50:00,2021,3,Sunday,15,,GREW HILL RD,42.2562159204022,-71.1240194732902,"(42.2562159204022, -71.1240194732902)"
212019850,2604,,EXTORTION OR BLACKMAIL,A7,28,0,2021-03-28 15:00:00,2021,3,Sunday,15,,MARION ST,42.3708180467024,-71.0392907813515,"(42.3708180467024, -71.0392907813515)"
212019847,3301,,VERBAL DISPUTE,B3,449,0,2021-03-28 15:33:00,2021,3,Sunday,15,,WHITFIELD ST,42.2927604440234,-71.0748660340706,"(42.2927604440234, -71.0748660340706)"
212019846,3005,,SICK ASSIST,D4,162,0,2021-03-28 15:46:00,2021,3,Sunday,15,,SHAWMUT AVE,42.3466782997675,-71.0659255905945,"(42.3466782997675, -71.0659255905945)"
212019845,3115,,INVESTIGATE PERSON,E18,501,0,2021-03-28 15:20:00,2021,3,Sunday,15,,HYDE PARK AVE,42.2801601066637,-71.118834672182,"(42.2801601066637, -71.118834672182)"
212019844,613,,LARCENY SHOPLIFTING,D4, ,0,2021-03-28 14:41:00,2021,3,Sunday,14,,RING RD,42.3481315830497,-71.0802700156278,"(42.3481315830497, -71.0802700156278)"
212019843,2670,,HARASSMENT/ CRIMINAL HARASSMENT,E5,695,0,2021-03-21 15:30:00,2021,3,Sunday,15,,COREY ST,42.2865249474606,-71.1551577187564,"(42.2865249474606, -71.1551577187564)"
212019841,613,,LARCENY SHOPLIFTING,A1,112,0,2021-03-28 13:50:00,2021,3,Sunday,13,,WASHINGTON ST,42.355123390368,-71.0608797985164,"(42.355123390368, -71.0608797985164)"
212019840,3114,,INVESTIGATE PROPERTY,E5,716,0,2021-03-28 10:52:00,2021,3,Sunday,10,,JOYCE KILMER RD,42.2719656103908,-71.1645747719021,"(42.2719656103908, -71.1645747719021)"
212019839,613,,LARCENY SHOPLIFTING,A1,117,0,2021-03-28 14:34:00,2021,3,Sunday,14,,BOYLSTON ST,42.3523118967664,-71.0637051009578,"(42.3523118967664, -71.0637051009578)"
212019838,2905,,VAL - VIOLATION OF AUTO LAW,E13,581,0,2021-03-28 13:00:00,2021,3,Sunday,13,,CENTRE ST,42.3229140626342,-71.1032840205967,"(42.3229140626342, -71.1032840205967)"
212019837,3112,,LANDLORD - TENANT,E18,520,0,2021-03-28 14:51:00,2021,3,Sunday,14,,RIVER ST,42.2562159204022,-71.1240194732902,"(42.2562159204022, -71.1240194732902)"
212019836,613,,LARCENY SHOPLIFTING,D4,134,0,2021-03-27 18:23:00,2021,3,Saturday,18,,BOYLSTON ST,42.3509590879459,-71.0741278007508,"(42.3509590879459, -71.0741278007508)"
212019835,3410,,TOWED MOTOR VEHICLE,D4,141,0,2021-03-28 13:18:00,2021,3,Sunday,13,,HEREFORD ST,42.3489466713401,-71.0857406510307,"(42.3489466713401, -71.0857406510307)"
212019834,520,,BURGLARY - RESIDENTIAL,B3,473,0,2021-03-27 17:00:00,2021,3,Saturday,17,,LIVERMORE ST,42.2741969021653,-71.1073822471626,"(42.2741969021653, -71.1073822471626)"
212019833,3201,,PROPERTY - LOST/ MISSING,C6,200,0,2021-03-28 14:20:00,2021,3,Sunday,14,,W BROADWAY,42.3412875043904,-71.054679326494,"(42.3412875043904, -71.054679326494)"
212019832,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,112,0,2021-03-28 13:52:00,2021,3,Sunday,13,,AVENUE DE LAFAYETTE,42.3533198672232,-71.0610231385854,"(42.3533198672232, -71.0610231385854)"
212019831,1109,,FRAUD - WIRE,D4,158,0,2021-03-28 12:21:00,2021,3,Sunday,12,,SAN JUAN ST,42.3414392812492,-71.0736476621046,"(42.3414392812492, -71.0736476621046)"
212019830,613,,LARCENY SHOPLIFTING,A1,111,0,2021-03-28 14:06:00,2021,3,Sunday,14,,WASHINGTON ST,42.3527294742853,-71.0625629084842,"(42.3527294742853, -71.0625629084842)"
212019828,2647,,THREATS TO DO BODILY HARM,A1,77,0,2021-03-27 23:03:00,2021,3,Saturday,23,,GROVE ST,42.3618385665647,-71.0597648909416,"(42.3618385665647, -71.0597648909416)"
212019826,1832,,SICK ASSIST - DRUG RELATED ILLNESS,C11,388,0,2021-03-28 11:54:00,2021,3,Sunday,11,,DORCHESTER AVE,42.2783992011305,-71.0663630509312,"(42.2783992011305, -71.0663630509312)"
212019825,3802,,M/V ACCIDENT - PROPERTY DAMAGE,A1,86,0,2021-03-28 13:45:00,2021,3,Sunday,13,,SALEM ST,42.3633979049115,-71.0560020818856,"(42.3633979049115, -71.0560020818856)"
212019824,3115,,INVESTIGATE PERSON,B3,418,0,2021-03-28 13:11:00,2021,3,Sunday,13,,SELDEN ST,42.2814863086498,-71.0775648227157,"(42.2814863086498, -71.0775648227157)"
212019823,3410,,TOWED MOTOR VEHICLE,E13,645,0,2021-03-28 12:21:00,2021,3,Sunday,12,,ELM ST,42.3108856469569,-71.1087509131656,"(42.3108856469569, -71.1087509131656)"
212019820,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,77,0,2021-03-28 13:16:00,2021,3,Sunday,13,,AVENUE DE LAFAYETTE,42.3618385665647,-71.0597648909416,"(42.3618385665647, -71.0597648909416)"
212019819,3114,,INVESTIGATE PROPERTY,B3,432,0,2021-03-28 13:39:00,2021,3,Sunday,13,,BALLOU AVE,42.2855541281477,-71.0824562289942,"(42.2855541281477, -71.0824562289942)"
212019818,3114,,INVESTIGATE PROPERTY,E5,691,0,2021-03-28 13:18:00,2021,3,Sunday,13,,CENTRE ST,42.2872074930051,-71.1493802181409,"(42.2872074930051, -71.1493802181409)"
212019817,616,,LARCENY THEFT OF BICYCLE,D4,167,0,2021-03-28 13:34:00,2021,3,Sunday,13,,BOYLSTON ST,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
